Q01_Best part	Q02_Worst part	Q03_Time
Apple example was good because it gave concrete understanding of modelling the ML problem.	I am not sure if I understood the Task 3 Eigenvectors so well. Also it took lots of time to figure out how to plot the lines from origo [0,0] to the eigenvector value.	3 : 6-10 Hours
The jupyter notebook was well written and the instructions easy to follow	'The eigenvector task was a bit of a jump in difficulty, I didn''t undertand how to use the numpy functions correctly at first.&nbsp;'	3 : 6-10 Hours
I think the best part was all the programming exercises because I thought it was fun and I reminder on the subject of vectors and matrices.	'I think the worst part was the quiz because I felt like some of the answer for the questions couldn''t be found in the course material.'	3 : 6-10 Hours
The book was very clear.	Coding bit was a bit unnecessary	2 : 1-5 hours
I like matrices.	Could be more matrices.	2 : 1-5 hours
Python exercises cleared the topics quite nicely, also the matrix algebra in the quiz was a good memory refresher	Learning new names for old topics in regression	3 : 6-10 Hours
I liked all the programming exercises this round as they were a nice way to get in touch with numpy and plotting with Python.	I would like to learn more about loss function and hypothesis space (and maybe some other topics) via doing exercises or reading online instead of going through a book.	2 : 1-5 hours
Task 2. Good beginning for Python beginners.	Task 3. The use and meaning of the eigenvectors is still a mystery.	2 : 1-5 hours
All the python modeling exercises were fun and educating. I really like seeing theory in practice	'The first part of the quiz was a little bit tedious and hard. My theoretical knowledge wasn''t enough at that time to answer then correctly'	3 : 6-10 Hours
3.exercise was the most fun for me, mainly because it was nice to plot the eigenvectors on top of data.	The matrix inverse question of the quiz was the most confusing because of one techicality that you could consider 0 a positive number.	3 : 6-10 Hours
Briefly reviewing basic linear algebra and python is a great idea for a course like this.	-0	3 : 6-10 Hours
'The coding exercises were good, since numpy and pandas is probably pretty new to most of the students, so it''s good to start from the basics. Task 3 was probably the best, since it had both linear algebra and plotting.'	'Reading the course book this early in the course shouldn''t be mandatory. Therefore I think it was silly that reporting typos in the book gives you points.'	2 : 1-5 hours
Question 2. Good start for the new comers into Python.&nbsp;	Since it is a introduction part nothing of that been faced	2 : 1-5 hours
Exercises were relatively easy and instructions were good.&nbsp;	The second question on the quiz. Nothing about it on the material (book nor coding exercises), so very hard to answer.Also, there is quite a bit of this "we will talk about it in the future" stuff during lectures, which can be a bit off-putting.&nbsp;	3 : 6-10 Hours
Best part was learn how to print data in different types with python. Before I has only use matlab for that.	Worst part was that I did not understand first what is range. Or that is not same that in mathematics.	2 : 1-5 hours
